barcode,category,subcategory,name,description,size,price
116157,"Art, Signage & Wall Decor","Art, Americana","Art, Americana","CLEARABLE, PUBLIC DOMAIN, B&W PHOTO, PRESIDENT JOHN F. KENNEDY, JFK, BLACK FRAME","Height 15.5""     Width 12.5""     Depth 0.5""",$40.00/wk
116160,"Art, Signage & Wall Decor","Art, Americana","Art, Americana","CLEARABLE, PUBLIC DOMAIN, B&W PHOTO, PRESIDENT RICHARD NIXON, BLACK FRAME","Height 15.5""     Width 12.5""     Depth 0.5""",$40.00/wk
116161,"Art, Signage & Wall Decor","Art, Americana","Art, Americana","CLEARABLE, PUBLIC DOMAIN, B&W PHOTO, PRESIDENT JIMMY CARTER, BLACK FRAME","Height 15.5""     Width 12.5""     Depth 0.5""",$40.00/wk
116162,"Art, Signage & Wall Decor","Art, Americana","Art, Americana","CLEARABLE, PUBLIC DOMAIN, B&W PHOTO, PRESIDENT HARRY S. TRUMAN, BLACK FRAME","Height 15.5""     Width 12.5""     Depth 0.5""",$40.00/wk
116163,"Art, Signage & Wall Decor","Art, Americana","Art, Americana","CLEARABLE, PUBLIC DOMAIN, B&W PHOTO, PRESIDENT THEODORE ROOSEVELT, BLACK FRAME","Height 15.5""     Width 12.5""     Depth 0.5""",$38.00/wk
116202,"Art, Signage & Wall Decor","Art, Americana","Art, Americana","CLEARABLE, PRESIDENT GEORGE WASHINGTON, OVAL FRAME, CONVEX GLASS","Height 22""     Width 16""     Depth 2""",$90.00/wk
207998,"Art, Signage & Wall Decor","Art, Americana","Art, Americana","CLEARABLE, PUBLIC DOMAIN, B&W PHOTO, PRESIDENT REAGAN, BLACK / SILVER FRAME","Height 32.5""     Width 26.5""     Depth 1""",$48.00/wk
207999,"Art, Signage & Wall Decor","Art, Americana","Art, Americana","""KENNEDY FOR PRESIDENT"" POSTER, AMERICAN PRESIDENT, JFK, GOLD FRAME","Height 27.5""     Width 21.5""     Depth 1""",$48.00/wk
208000,"Art, Signage & Wall Decor","Art, Americana","Art, Americana","CLEARABLE, ULYSSES S.GRANT & WAR GENERALS, CIVIL WAR, GOLD FRAME","Height 23""     Width 28.5""     Depth 1""",$50.00/wk
208896,"Art, Signage & Wall Decor","Art, Americana","Art, Americana","CLEARABLE, PUBLIC DOMAIN, PHOTO, PRESIDENTIAL PORTRAIT OF BARACK OBAMA, GREY MATTING","Height 22""     Width 18.5""",$45.00/wk
